address,amount
0x99bcea6bb0403927fb3c038163478d5b42082fd9,30
0x74c3b2d22ed5990b9ab1f77bd3054d4fd4afcf96,60
0xb290fd44a628a21fccbf6347668d80de4177da42,30
0xdb86b02928c47cb1c1d231b21732e6c639b28051,30
0xad91bae71e4569ec5ff09be170e223cc6b388ab0,30
0x9e42fd37e21c0ed235fa31d2f49a7fbdea961f5c,30
0xe36bd8c15a83b89e2e49806d7312846069755c63,30
0xa2f1d78676a6c0a019dfd19683b5b24270fc2b94,30
0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1,30
0x2951b1f7058bd2c05f01954002c450bac0873847,60
0x7e05382a7463bffd77fd09b44ed261dd72d74aa1,30
0x86922e5eec8f1eb42af8590f50327f2bcc5259b6,30
0xf7209ca456675d82a372f8edfa1f17e74c237b69,60
0xb2a1916082a25ea90c0198afcd6553e00f60ea01,30
0x1e7127c81c8a58661a0811f026b6be66533934be,60
0x6e4e3b52986e46b4d656c49b8c18c742e311e354,60
0xe55c69cfd20cfa25651c72b84383de6104104eb4,60
0x87715066daf3c2e0a05085a2f1b6087b90aeaf82,30
0xc31db2e710192791b65de43d4b84886a6d770322,30
0x097df964c10a3921133cfca8e70df99d4951c3d3,30
0x987fb317888cf344da7fc3836bcf62a9f6718858,30
0xf05dee6573878712b35136078385977726148a60,30
0xefbe8313154bc7ef122bc3b27a4ec4f27ea719b2,30
0xf64f5cc7c5f85aebb3244959422d25fe52d9d2f0,30
0x11a661deee632244ebdd936b1784f4fd1cbbe364,30
0xfb4a5ae508dc15e2e1172bae69fb8ad18cc81d73,60
0x2f532a8832f798ced9c6c1aab17afb9debb2b345,30
0x90029e5bd5acf5276e0b2be90e1c25b51cb3b6fb,30
0x122dae9909635453c3323c7ef5454fa13fbf5d77,30
0xacb05e98b8a244bfa8bc93b86c250695abd51648,30
0xe524d6514f5c6c91796d223c3310ce211bc749c0,30
0x48f7d45fa696dc89ff4f2233b25490455ae19dc2,60
0xf7463e7335033586683ac1f3df3080a0b38babe9,60
0x5e4fa37a2308fe6152c0b0ebd29fb538a06332b8,30
0x0d690122d58990cd9a7561f5817bd750c55ea366,30
0x52b4cb3befcf93bd327e98c1ebd233078a67c676,30
0xf4282fa826238a208beb5dd5c97973c8ff0e6bc7,30
0xf89262f358ba40ded531c9138de1b2ebe79cc2a4,30
0x2ca3f2385e7b6ccc8eefa007ca62bcf85df8e89e,30
0xf7476db5b717ac661c027e684456115ab1e728c3,30
0xdd0ddad1ca7b57acac3e1ed2ceac6ebc5526431a,30
0x77426b45545794ffa2ae4e6c5d44a9d1848473fc,30
0xb7d49adb031d6dbdf3e8e28f21c6dd3b6f231cd5,30
0x166b6770f7513ee4be7a88f7c8d250e5e8bcbfaf,30
0x358de7bae44025257eae6dd2d9774e7cbdbeeeb2,30
0x316f99537b4bade5eea51073f1b7c38dfbf69a70,30
0xc99741d1b8a7372d8b976af59aed9de57dc2fb6c,30
0x47f366ddacd8cfbf1d035c0320f7422da1e919a8,30
0x1b0d061fe9534b217ea789c4308291423953db3b,30
0x7d64f92985687a2d79f8e76b7de8cfb1f9e1bac0,30
0x9ed80eda7f55054db9fb5282451688f26bb374c1,30
0xfc5737a0fe325d6b2e0c9dc2ac1d81f549fd662c,30
0xce0b352177038599b1df4505f50ff731ff6421eb,30
0x0fd2cf82d6d0131233b4793bdeeac02e76a16207,30
0xca253fe65d86e0a1848864184c170faac021f862,30
0x9bdfaeb9cb28dc05b09b37c0f14ecbc9a876cee0,30
0x9a1ce61815c2e7cafd55a8ca2f03af7da34b1b84,30
0xee4b51344c2712e8675a55b3b85214ecdf4f60ec,60
0xec63913528365fc4b845df57171b63d71ec68442,30
0x5b295aa92ddd008d4042773e8df91a9f848ebc58,30
0x79dba1d434c26746b21233d3a46660523fb934a0,30
0x4b1c21c93ff275cbe80eed552964da91d5ebafb3,30
0x68cdd84267c53882271a93221a18fe5515fb8921,30
0xca8937ccfd9486a69e1299184ee39f50b098d1f4,30
0x9eb1a1f5252fc6cdc857497e883a4500b88c04be,30
0x455ca2eeeb67bd243993c58afea5268f2af9de9a,30
0xd0c5817fc7989fdc13cf8e4e0c53948ba4e9ec9f,30
0xa547478bdfa44eaa7650905fe95034187c3dc96d,30
0xc645303a36d7313f1414250ddfddd58a972e1a35,30
0x74a191ff18e99a7eb7c6e58269abbd9a86a5d930,30
0xd299dfc7fac78e76cbd6492bd1606df662b1e848,30
0x774699ae2615efd12f93cf90ff7213e6d61b6d06,30
0x7ba9fc8f8c58d6fd31b30d07f75aad6a9261139c,30
0xbb06a1d3de143749ae821790f39596167be1e073,30
0x6be7d98d4eb1a830f91cfcceb9032a62f2c6a7ea,30
0xfb56e3bcebb06ef96dcd49b86b2391bd7c73e7be,30
0x628d339383e5b4e2c4c34a96d59cc6fdfd3ec46f,30
0x8366fe0ee9dc6aeed3dbb65a373258cfcaedd400,30
0x44879c7942b582dde8668eb1bba0a1523ba8a934,30
0xda35e02e7db943ee0e61e6b36cefd6c764936a9c,30
0x9131f53675e692f20d7504588e6199248f2e48bd,30
0x36a5626bf2c0730d6e7203bbedad2657ce77c925,30
0x9da88798804bba492d5fece302caf703e175cf89,30
0xfeeaa6a2ae0d4a15e947afc71dc249a29dc2778d,30
